rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
132,227,3.4402477477565867,2.4237969435981768,1.01645080415841
133,51,3.4970897286360696,2.474686420389446,1.0224033082466235
134,194,3.9250232378140026,2.8120581560902167,1.112965081723786
135,241,3.6091652528501754,2.546542695079836,1.0626225577703394
136,12,3.4132906516429102,2.382466537841708,1.0308241138012022
137,93,3.037219801141532,2.110395031111551,0.926824770029981
138,162,3.019576869411594,2.0987435318198777,0.9208333375917164
139,27,3.2672717655931933,2.274523490255575,0.9927482753376182
140,130,3.687175585524699,2.608028887975479,1.0791466975492199
141,161,3.6831088646771377,2.621614787238144,1.0614940774389936
142,195,3.40063858197783,2.4398886941262106,0.9607498878516196
143,237,3.2410527231787114,2.2993663550182077,0.9416863681605037
144,104,3.492495680979971,2.5089252645366855,0.9835704164432855
145,112,4.366750346067931,3.1766831649281073,1.190067181139824
146,121,3.4162289704136697,2.404352881463808,1.0118760889498617
147,244,3.5902877416691013,2.5954537466379577,0.9948339950311436
148,50,3.454463233601814,2.435032099794398,1.0194311338074158
149,127,3.3632582141607372,2.3627590502532883,1.000499163907449
150,12,3.216023117708005,2.237841714437934,0.9781814032700709
151,108,3.7425367338364595,2.6980610907086486,1.0444756431278108
152,242,3.2192293764195483,2.225122700778684,0.9941066756408645
153,158,3.5989122004730802,2.601605481840039,0.9973067186330411
154,89,3.6018566238545873,2.588482507009701,1.0133741168448864
155,254,3.2669073993277493,2.3042581175217833,0.962649281805966
156,154,3.1754770482273784,2.2055865701690607,0.9698904780583177
157,242,4.07640352075839,2.988549315021203,1.0878542057371874
158,4,3.3474472048061443,2.3658263123817846,0.9816208924243597
159,117,3.5445383212959314,2.5082002904644867,1.0363380308314447
160,213,3.6286311695811833,2.565356956874183,1.0632742127070003
161,193,3.264324324815391,2.311043430254358,0.9532808945610327
162,104,3.3676121369491625,2.436636863050211,0.9309752738989516
163,127,3.3536824151298674,2.339555197642028,1.0141272174878395
164,107,3.5057436056429196,2.4948277878698093,1.0109158177731103
165,135,3.4407581508275484,2.4261580971887042,1.0146000536388442
166,58,3.7356037276763914,2.6780238613352765,1.057579866341115
167,201,3.293994157987072,2.3483510375910726,0.9456431203959994
168,19,3.3179650214294156,2.375922934655989,0.9420420867734265
169,106,3.597360560111838,2.5577357441318327,1.0396248159800052
170,72,3.366646733672269,2.320657981176055,1.0459887524962141
