rep,group,n_ev,delta_lpd_total,delta_lpd_data,delta_lpd_sel
43,sky_large,18,3.5540180101480843,2.9952215793567234,0.5587964307913609
44,dist_low,12,3.3179131058193576,2.999786445899204,0.31812665992015354
44,dist_mid,12,-0.09234504963802692,-0.5114458672919255,0.4191008176538986
44,dist_high,12,0.7080086859264441,0.2343036763853661,0.47370500954107797
44,sky_small,18,-0.0808094966951387,-0.666778966645694,0.5859694699505553
44,sky_large,18,3.553553079495586,3.008223167501697,0.545329911993889
45,dist_low,12,0.14274268061878104,-0.3081844389165127,0.45092711953529374
45,dist_mid,12,0.2036174244354072,-0.24440744796247316,0.44802487239788036
45,dist_high,12,3.611287450030744,3.231293864638147,0.3799935853925973
45,sky_small,18,0.7456132989896957,0.11596894205068509,0.6296443569390107
45,sky_large,18,3.5512924065359783,2.9927221463882745,0.5585702601477038
46,dist_low,12,2.5335738095484714,2.27366188653923,0.25991192300924126
46,dist_mid,12,1.3696345102854366,0.9666259760939653,0.4030085341914713
46,dist_high,12,1.1491732601700733,0.6409619743954948,0.5082112857745784
46,sky_small,18,0.13780939657689828,-0.47958865831597564,0.6173980548928739
46,sky_large,18,3.5946672307842533,3.0335623894872015,0.5611048412970518
47,dist_low,12,0.06492393022047338,-0.3768038622408625,0.44172779246133587
47,dist_mid,12,2.5958707926029803,2.2914008807048774,0.3044699118981029
47,dist_high,12,2.2010071732065484,1.785112768387208,0.4158944048193405
47,sky_small,18,0.48624357782708216,-0.07903829460229872,0.5652818724293809
47,sky_large,18,3.785903777376859,3.198646873957017,0.587256903419842
48,dist_low,12,0.45570340622758465,-0.008170477617454708,0.46387388384503936
48,dist_mid,12,3.166383428396216,2.833939486050994,0.3324439423452219
48,dist_high,12,0.03174046728838675,-0.3925434531100649,0.42428392039845164
48,sky_small,18,0.029286900038670183,-0.5693980699205952,0.5986849699592653
48,sky_large,18,3.37243318246081,2.8429113495134146,0.5295218329473954
49,dist_low,12,2.650506583501965,2.368783062291712,0.2817235212102531
49,dist_mid,12,-0.07179215649854598,-0.49608083848015383,0.42428868198160785
49,dist_high,12,1.8562128378574414,1.4195201661079082,0.4366926717495332
49,sky_small,18,-0.20798354737701175,-0.7802755483079693,0.5722920009309576
49,sky_large,18,3.569664224109971,3.005179320262812,0.5644849038471591
50,dist_low,12,0.5570361676556104,0.08569943706264382,0.47133673059296655
50,dist_mid,12,3.2160059732015895,2.872278271006614,0.3437277021949754
50,dist_high,12,0.1954490375113096,-0.2392663141615543,0.4347153516728639
50,sky_small,18,0.2511628462916917,-0.3842330410051602,0.6353958872968519
50,sky_large,18,3.4437539767803145,2.897675751921639,0.5460782248586753
51,dist_low,12,2.8176421164514096,2.539322844673464,0.2783192717779457
51,dist_mid,12,0.34964326810775503,-0.10855554376939835,0.4581988118771534
51,dist_high,12,1.8922862985400428,1.4622542085054988,0.430032090034544
51,sky_small,18,0.08445624156854592,-0.5239358016739573,0.6083920432425032
51,sky_large,18,3.7101894872428005,3.1294438379990765,0.580745649243724
52,dist_low,12,0.2722947836440426,-0.18328999624114317,0.45558477988518575
52,dist_mid,12,1.5897228392190215,1.1754118043619428,0.41431103485707865
52,dist_high,12,3.014167031885762,2.67783293325175,0.336334098634012
52,sky_small,18,0.5632733009679782,-0.1020925995694455,0.6653659005374237
52,sky_large,18,3.5542063107681514,2.9870840405767893,0.5671222701913621
53,dist_low,12,0.37613419510127244,-0.08471446522958104,0.4608486603308535
53,dist_mid,12,2.564501375814359,2.2845019410000873,0.2799994348142718
53,dist_high,12,1.7593706311035788,1.328787383308807,0.43058324779477175
53,sky_small,18,0.046452062048274456,-0.5545853132065588,0.6010373752548333
53,sky_large,18,3.5421273422839192,2.9817381716982254,0.5603891705856938
54,dist_low,12,2.6804825978094726,2.401786072446896,0.2786965253625766
54,dist_mid,12,1.2738256849920475,0.8752191162780747,0.3986065687139728
54,dist_high,12,0.7550010970552137,0.2847705984817708,0.4702304985734429
54,sky_small,18,-0.046313132316981864,-0.6461476569819808,0.599834524664999
54,sky_large,18,3.488739110932329,2.9442689713493593,0.5444701395829696
55,dist_low,12,0.2202278428501785,-0.22868567623719116,0.44891351908736965
55,dist_mid,12,1.452437247650792,1.0408603306812978,0.4115769169694943
55,dist_high,12,2.681910042289431,2.3697766451451656,0.31213339714426525
55,sky_small,18,0.2465904411790234,-0.3593168019660027,0.6059072431450261
55,sky_large,18,3.470122467596525,2.9359641111354478,0.5341583564610772
56,dist_low,12,3.0662012571367256,2.7749213475243693,0.2912799096123564
56,dist_mid,12,0.28377476759412446,-0.1577241423574378,0.44149890995156227
56,dist_high,12,0.6912235279718573,0.2372814865478574,0.45394204142399985
56,sky_small,18,0.01838026721333108,-0.5413344115247583,0.5597146787380893
56,sky_large,18,3.507550887248229,2.980347035850528,0.5272038513977009
57,dist_low,12,-0.034444505140029946,-0.4675200642588919,0.433075559118862
57,dist_mid,12,3.1685700945986923,2.833274153048727,0.33529594154996545
57,dist_high,12,2.043255149711115,1.5282535821949708,0.5150015675161441
57,sky_small,18,0.9285037187054286,0.2612971375195201,0.6672065811859085
57,sky_large,18,3.878603288570744,3.2791098970519243,0.5994933915188199
58,dist_low,12,-0.06468560894609254,-0.4917027770336375,0.427017168087545
58,dist_mid,12,0.46128798631561096,0.004284639461360484,0.4570033468542505
58,dist_high,12,3.668551968766451,3.2822257279182665,0.38632624084818445
58,sky_small,18,0.3345741509936886,-0.28740122617803365,0.6219753771717222
58,sky_large,18,3.805301639916493,3.2176663535993697,0.5876352863171235
59,dist_low,12,0.1398822872769756,-0.3117409237196256,0.4516232109966012
59,dist_mid,12,0.2794806877186886,-0.1588904393476156,0.4383711270663042
59,dist_high,12,3.1357080602845997,2.7932907067917085,0.34241735349289115
59,sky_small,18,0.07998335969298864,-0.5103564884579725,0.5903398481509612
59,sky_large,18,3.440991105874133,2.905287405318333,0.5357037005557999
60,dist_low,12,1.7685257314197997,1.348721214620852,0.4198045167989477
60,dist_mid,12,2.5203622692425967,2.236227846722514,0.2841344225200828
60,dist_high,12,0.869355206005892,0.4021779140221611,0.4671772919837309
60,sky_small,18,0.5400070168640809,-0.12105899892563343,0.6610660157897144
60,sky_large,18,3.4485312762920444,2.9053473720542087,0.5431839042378357
61,dist_low,12,2.670691276814111,2.3883365480346868,0.28235472877942414
61,dist_mid,12,0.286101115900081,-0.1623007028240977,0.4484018187241787
61,dist_high,12,2.5865294661003446,2.133205645758224,0.4533238203421206
61,sky_small,18,1.221595600112238,0.525759644677052,0.6958359554351858
61,sky_large,18,3.4463096445380046,2.9016940290631936,0.544615615474811
62,dist_low,12,0.37800986471468434,-0.0845585892982541,0.46256845401293845
62,dist_mid,12,2.4042687492046753,2.1302552193459263,0.27401352985874894
62,dist_high,12,2.4023993840994677,1.9365785061857892,0.46582087791367854
62,sky_small,18,0.6911097173003498,0.014739870719807868,0.6763698465805419
62,sky_large,18,3.527986052847453,2.9822057595931426,0.5457802932543103
63,dist_low,12,-0.19213095215103237,-0.6207975405424975,0.4286665883914651
63,dist_mid,12,1.5016771633021904,1.0891626458451924,0.41251451745699796
63,dist_high,12,3.136666259126855,2.7722924982617414,0.36437376086511364
63,sky_small,18,0.47429168489992435,-0.19259064651944868,0.666882331419373
63,sky_large,18,3.4693325454938844,2.926940465445412,0.5423920800484723
